goodreads_book_id,tag_name,tag_length
98,"parenting, nonfiction, baby, non_fiction, reference, health, family, baby, pregnancy, pregnancy_parenting, pregnancy_and_parenting, self_help, motherhood, baby_parenting, adult, did_not_finish, child_development, kid, parenthood, childcare, abandoned, unfinished, child_rearing, educational, baby_stuff, child, how, parenting_pregnancy, childrens, didn_finish",359
105,"science_fiction, sci, fiction, dune, scifi, fantasy, sci_fantasy, frank_herbert, scifi_fantasy, series, classic, space_opera, fantasy_sci, dune_series, science, science_fiction_fantasy, buy, novel, adventure, space, fantasy, dune_chronicle, herbert, speculative_fiction, religion, english, classic, science_fiction_and_fantasy, calibre, literature",347
106,"fiction, fantasy, science_fiction, scifi, dune, sci_fantasy, series, classic, scifi_fantasy, space_opera, frank_herbert, fantasy_sci, science_fiction_fantasy, science, novel, classic, speculative_fiction, novel, religion, fantasy, space, epic, sci_and_fantasy, herbert, literature, dune_series, fantasy_scifi, dune_chronicle, science_fiction_and_fantasy, audio",360
112,"science_fiction, sci, fiction, scifi, fantasy, dune, sci_fantasy, scifi_fantasy, space_opera, classic, series, frank_herbert, fantasy_sci, science_fiction_fantasy, science, novel, speculative_fiction, herbert, epic, dune_series, classic, fantasy, novel, sci_and_fantasy, dune_chronicle, buy, series, paperback, religion, literature",331
117,"science_fiction, sci, fiction, dune, scifi, fantasy, sci_fantasy, series, scifi_fantasy, frank_herbert, space_opera, classic, science, fantasy_sci, dune_series, buy, science_fiction_fantasy, novel, dune_chronicle, fantasy, herbert, speculative_fiction, religion, english, novel, space, science_fiction_and_fantasy, adventure, sci_and_fantasy, herbert_frank",356
119,"fantasy, art, tolkien, non_fiction, film, nonfiction, fiction, movie, middle_earth, lord_the_ring, lotr, sci_fantasy, classic, movie, tolkien_related, english, entertainment, misc, filmmaking, tolkien, cinema, film, novel, fantasy_sci, scifi_fantasy, fantasy_fiction, adult, illustrated, reference, inspiration",310
122,"fiction, historical_fiction, africa, classic, south_africa, coming_age, historical, young_adult, novel, general_fiction, literature, australian, audible, school, all_time, drama, history, shelfari, adult_fiction, adult, apartheid, contemporary, bryce_courtenay, classic, contemporary_fiction, novel, buy, series, audio, inspirational",333
231,"fiction, contemporary_fiction, novel, contemporary, college, coming_age, literature, literary_fiction, american, abandoned, novel, general_fiction, young_adult, adult_fiction, audio, american_literature, did_not_finish, college_life, tom_wolfe, usa, shelfari, literary, modern_fiction, century, didn_finish, adult, couldn_finish, drama, americana, gave",352
249,"fiction, classic, classic, unfinished, literary_fiction, american_literature, literature, erotic, modern_top, novel, american, did_not_finish, adult_fiction, lit, import, memoir, modern_best_novel, romance, non_fiction, erotica, general_fiction, century, classic_literature, top, novel, contemporary, time_top, didn_finish, have, europe",336
250,"fiction, classic, literature, american, novel, classic, henry_miller, american_literature, import, erotica, novel, erotica, buy, usa, new_york, american_lit, literary_fiction, erotic, century, modern_classic, contemporary, narrativa, general_fiction, lit, non_fiction, abandoned, americana, wish_list, sexuality, nyc",316
264,"classic, fiction, classic, literature, century, american, novel, american_literature, historical_fiction, classic_literature, romance, american_lit, buy, novel, classic_fiction, henry_james, victorian, literary_fiction, english, historical, abandoned, british, wish_list, adult_fiction, england, classic_lit, adult, english_literature, nook, audio",347
275,"fiction, french, classic, romance, france, french_literature, literature, historical_fiction, novel, erotica, novel, french_lit, century, classic, vietnam, asia, memoir, literary_fiction, translated, buy, woman, french, novella, wish_list, translation, francais, historical, female_author, woman_writer, love",308
291,"poetry, novel, literature, classic, philosophy, arabic, romance, literature, spirituality, kahlil_gibran, khalil_gibran, arabic_literature, non_fiction, finished, arabic_literature, english, drama, arab, terjemahan, sastra, classic, spiritual, arabic_novel, novel, novel, lebanon, reparation, fantasy, wish_list, borrowed",321
295,"classic, fiction, adventure, classic, young_adult, historical_fiction, childrens, literature, child, pirate, fantasy, child, novel, classic_literature, historical, childhood, century, kid, school, british, english, novel, action_adventure, classic_fiction, audio, buy, british_literature, child_literature, audible, classic_lit",327
304,"classic, fiction, classic, century, victorian, british, literature, historical_fiction, british_literature, novel, romance, england, george_eliot, jewish, classic_literature, english_literature, import, brit_lit, english, historical, wish_list, novel, british_lit, literary_fiction, classic_lit, woman_writer, victorian_literature, buy, school, classic_fiction",360
320,"classic, literature, classic, novel, latin_america, novel, spanish, buy, abandoned, magic_realism, latin_american, literary_fiction, fiction, colombia, century, novel, did_not_finish, south_america, latin_american_literature, adult_fiction, all_time, nobel_prize, adult, contemporary, translated, nobel, literary, wish_list, didn_finish, historical",348
343,"fiction, historical_fiction, classic, horror, mystery, crime, thriller, historical, german, novel, fantasy, literature, german_literature, france, novel, classic, buy, magical_realism, contemporary, adult, school, gothic, germany, century, suspense, drama, literary_fiction, history, murder, novel",297
348,"science_fiction, sci, fiction, time_travel, scifi, sci_fantasy, heinlein, fantasy, classic, science_fiction_fantasy, science, masterworks, robert_heinlein, scifi_fantasy, robert_heinlein, fantasy, adventure, classic, speculative_fiction, novel, audio, science_fiction, travel, fantasy_sci, english, time, buy, paperback, sci_and_fantasy, science_fiction_and_fantasy",365
350,"science_fiction, sci, fiction, classic, scifi, sci_fantasy, fantasy, classic, scifi_fantasy, science_fiction_fantasy, novel, philosophy, speculative_fiction, fantasy_sci, science, religion, abandoned, buy, hugo, heinlein, literature, sci_and_fantasy, american, hugo_award, hugo_winner, novel, fantasy, adult, audio, alien",321
353,"science_fiction, sci, fiction, scifi, sci_fantasy, heinlein, fantasy, time_travel, classic, scifi_fantasy, science_fiction_fantasy, science, novel, speculative_fiction, robert_heinlein, fantasy, robert_heinlein, fantasy_sci, classic, abandoned, sff, classic_sci, sci_and_fantasy, romance, adventure, space, audible, paperback, speculative, heinlein_robert",355
355,"science_fiction, sci, fiction, fantasy, scifi, heinlein, humor, sci_fantasy, religion, science_fiction_fantasy, speculative_fiction, robert_heinlein, scifi_fantasy, adventure, comedy, fantasy_sci, robert_heinlein, satire, science, novel, novel, american, paperback, science_fiction_and_fantasy, classic, sciencefiction, fantasy, sff, alternate_reality, audio",358
357,"fiction, fantasy, science_fiction, sci, mystery, humour, comedy, humor, scifi, douglas_adam, sci_fantasy, funny, series, scifi_fantasy, detective, british, novel, urban_fantasy, fantasy_sci, english, science, import, crime, speculative_fiction, science_fiction_fantasy, mythology, audio, novel, dirk_gently, audible",315
359,"science_fiction, sci, fantasy, humour, non_fiction, fiction, comedy, scifi, short_story, essay, humor, sci_fantasy, nonfiction, funny, science, douglas_adam, mystery, british, scifi_fantasy, biography, series, buy, fantasy_sci, english, science_fiction_fantasy, wish_list, novel, adam, novel, audio",298
360,"science_fiction, sci, fiction, humor, fantasy, humour, scifi, comedy, sci_fantasy, series, douglas_adam, funny, classic, adventure, novel, british, fantasy_sci, scifi_fantasy, english, space, science, buy, alien, novel, science_fiction_fantasy, adult, satire, audio, speculative_fiction, sci_and_fantasy",303
365,"science_fiction, fiction, sci, fantasy, humor, scifi, sci_fantasy, mystery, series, douglas_adam, funny, humour, scifi_fantasy, comedy, crime, novel, british, fantasy_sci, science_fiction_fantasy, science, english, speculative_fiction, humorous, time_travel, urban_fantasy, novel, detective, satire, century, classic",316
378,"fantasy, fiction, childrens, classic, young_adult, child, child, kid, childhood, middle_grade, classic, adventure, humor, childhood, juvenile, child_lit, school, child_literature, youth, all_time, juvenile_fiction, childrens_lit, novel, childrens_literature, kid_lit, literature, sci_fantasy, buy, funny, middle_school",318
386,"memoir, non_fiction, nonfiction, memoir, fiction, biography, boston, biography_memoir, poetry, wish_list, homelessness, mental_illness, abandoned, biography, autobiography, family, memoir_biography, addiction, buy, literature, bio_memoir, novel, contemporary, couldn_finish, shelfari_wishlist, adult, school, memoir_bio, did_not_finish, mental_health",350
400,"fiction, historical_fiction, novel, literature, american, import, politics, contemporary, literary_fiction, novel, buy, american_literature, history, postmodern, historical, contemporary_fiction, don_delillo, classic, usa, delillo, americana, century, wish_list, postmodernism, post_modern, jfk, american_fiction, america, crime, literary",338
415,"fiction, science_fiction, historical_fiction, novel, sci, buy, american, war, postmodern, abandoned, unfinished, classic, literary_fiction, century, american_literature, literature, novel, wish_list, contemporary, pynchon, postmodernism, time, post_modern, american_lit, historical, history, hold, contemporary_fiction, modern_classic, lit",339
424,"nonfiction, non_fiction, essay, memoir, history, short_story, classic, fiction, journalism, california, essay, american, buy, politics, memoir, century, woman, biography, creative_nonfiction, american_literature, female_author, writing, america, culture, woman_writer, americana, classic, non_fic, wish_list, biography_memoir",325
428,"classic, novel, buy, literature, contemporary, time, literary_fiction, california, feminism, adult_fiction, century, los_angeles, wish_list, american_lit, woman, usa, import, novel, american_literature, hollywood, contemporary_fiction, adult, time_top, all_time_novel, fiction, female_author, female_author, joan_didion, classic, woman_author",342
431,"fiction, mystery, american, literature, contemporary, novel, new_york, american_literature, crime, short_story, novel, literary_fiction, english, usa, classic, contemporary_fiction, buy, paul_auster, century, postmodern, abandoned, detective, nyc, postmodernism, metafiction, america, american_lit, thriller, import, finished",325
432,"fiction, mystery, literature, american, contemporary, novel, crime, american_literature, literary_fiction, century, classic, paul_auster, new_york, novel, postmodern, daria, contemporary_fiction, school, usa, series, university, english, adult, detective, american_lit, post_modern, auster, roman, metafiction, general_fiction",326
446,"fiction, contemporary, american, new_york, novel, literature, paul_auster, novel, american_literature, contemporary_fiction, usa, literary_fiction, english, auster, narrativa, brooklyn, buy, literary, general_fiction, america, century, family, finished, nyc, novela, drama, american_lit, roman, modern_fiction, roman",316
447,"fiction, american, paul_auster, novel, literature, english, novel, century, import, contemporary_fiction, buy, auster, american_lit, roman, postmodernism, literary_fiction, america, general_fiction, wish_list, new_york, finished, drama, modern_fiction, literary, american_fiction, boxall, nyc, roman, adult_fiction, borrowed",324
449,"fiction, dog, contemporary, novel, paul_auster, animal, american, literature, contemporary_fiction, import, usa, novel, literary_fiction, american_literature, century, english, auster, general_fiction, buy, wish_list, audible, audio, american_lit, roman, adult_fiction, homeless, new_york, novela, pet, classic",310
456,"fiction, american, literature, paul_auster, contemporary, novel, novel, usa, literary_fiction, american_literature, century, buy, auster, english, mystery, contemporary_fiction, modern_fiction, novela, roman, literary, wish_list, finished, crime, america, american_fiction, general_fiction, americana, modern, american_lit, thriller",332
475,"non_fiction, history, nonfiction, science, anthropology, environment, politics, buy, sociology, historical, geography, economics, nature, environmental, wish_list, social_science, civilization, audio, world_history, business, archaeology, political, biology, development, culture, general_non_fiction, academic, didn_finish, society, have",338
597,"non_fiction, music, nonfiction, memoir, humor, pop_culture, essay, memoir, travel, biography, fiction, culture, buy, biography_memoir, journalism, contemporary, adult, chuck_klosterman, memoir_biography, comedy, music_related, funny, humour, klosterman, audio, history, non_fic, memoir_biography, all_time, shelfari",315
599,"non_fiction, nonfiction, essay, humor, pop_culture, music, culture, memoir, sociology, comedy, buy, fiction, funny, humour, contemporary, adult, memoir, abandoned, philosophy, essay, cultural_study, social_commentary, unfinished, pop, journalism, chuck_klosterman, short_story, history, popculture, american",307
621,"finance, non_fiction, personal_finance, business, money, nonfiction, self_help, financial, investing, finance, personal_development, self_improvement, wealth, reference, economics, business_finance, real_estate, audio, personal_growth, investment, maybe, how, success, personal, personal_dev, david_bach, shelfari, buy, school, hold",332
629,"philosophy, fiction, non_fiction, classic, nonfiction, spirituality, travel, abandoned, psychology, memoir, literature, spiritual, religion, buddhism, unfinished, zen, self_help, novel, classic, biography, buy, american, did_not_finish, self_improvement, didn_finish, philosophical, novel, life, never_finished, philosophy_religion",331
647,"non_fiction, politics, nonfiction, economics, sociology, business, culture, marketing, society, political, history, philosophy, consumerism, activism, design, buy, capitalism, canadian, branding, medium, canada, globalization, social_science, political_science, journalism, economy, abandoned, current_affair, social_justice, finished",334
656,"classic, fiction, historical_fiction, classic, russian, literature, russian_literature, russia, war, history, historical, novel, russian_lit, buy, century, classic_literature, novel, romance, unfinished, philosophy, wish_list, classic_fiction, abandoned, hold, literary_fiction, russian_classic, leo_tolstoy, adult, tolstoy, translated",335
662,"fiction, classic, philosophy, classic, literature, politics, science_fiction, dystopia, novel, dystopian, abandoned, economics, ayn_rand, political, objectivism, sci, novel, general_fiction, business, capitalism, audio, american, unfinished, audible, shelfari, all_time, wish_list, adult, did_not_finish, literary_fiction",321
665,"philosophy, non_fiction, nonfiction, politics, fiction, objectivism, psychology, ethic, ayn_rand, classic, history, modern, essay, general, egoism, rand, epistemology, selfishness, contemporary, literary, life, moral, conduct, political, buy, survey, personality, literature, economics, libertarianism",301
667,"fiction, philosophy, dystopia, dystopian, science_fiction, classic, sci, classic, school, literature, politics, novel, ayn_rand, fantasy, for_school, adult, political, high_school, classic_literature, scifi, novel, young_adult, adult_fiction, american, objectivism, general_fiction, century, dystopian_literature, sci_fantasy, buy",330
668,"classic, philosophy, literature, historical_fiction, ayn_rand, classic, russia, politics, novel, political, historical, objectivism, rand, russian, history, fiction, novel, dystopia, dystopian, american, communism, century, science_fiction, general_fiction, buy, ayn, literary_fiction, audible, non_fiction, general",315
676,"poetry, non_fiction, poem, american, fiction, contemporary, literature, american_literature, humor, adult, nonfiction, wish_list, home, school, signed, all_time, american_lit, author, billy_collins, classic, have, for_school, anthology, hold, college, personal, fun, paper, century, ted",286
698,"fiction, adoption, contemporary, contemporary_fiction, anne_tyler, family, adult_fiction, novel, general_fiction, adult, audio, literary_fiction, american, immigrant_experience, novel, relationship, family_relationship, abandoned, usa, drama, baltimore, asia, korea, literary, realistic_fiction, parenting, chick_lit, culture, asian, tyler",339
703,"fiction, historical_fiction, alternate_history, literature, history, american, jewish, novel, science_fiction, alternative_history, literary_fiction, war, politics, wwii, novel, historical, world_war, contemporary, american_literature, philip_roth, contemporary_fiction, sci, import, usa, dystopia, dystopian, america, abandoned, modern_fiction, american_lit",358
706,"humor, non_fiction, politics, nonfiction, comedy, history, satire, humour, funny, fiction, political, american_history, audio, adult, america, reference, american, pop_culture, fun, non_fic, essay, humorous, historical, social_commentary, political_science, culture, buy, other, misc, government",295
760,"fiction, literature, classic, romance, magical_realism, novel, latin_america, novel, latin_american, spanish, latin_american_literature, colombia, buy, gabriel_garcia_marquez, literary_fiction, nobel_prize, contemporary, nobel, south_america, espaol, colombian, novella, marquez, contemporary_fiction, adult_fiction, the_novel, novel, spanish_literature, classic, translated",374
771,"science, physic, nonfiction, astronomy, popular_science, cosmology, buy, philosophy, mathematics, space, science_math, theory, unfinished, science_physic, abandoned, math_science, science_technology, universe, hold, string, string_theory, astrophysics, wish_list, mathematical, theory, english, pop_science, superstring, calibre, science_non_fiction",349
816,"fiction, science_fiction, sci, historical_fiction, scifi, cyberpunk, thriller, historical, sci_fantasy, war, history, science, fantasy, abandoned, cryptography, novel, scifi_fantasy, adventure, speculative_fiction, neal_stephenson, wwii, technology, novel, literature, unfinished, buy, espionage, audible, contemporary, did_not_finish",334
822,"fiction, historical_fiction, science_fiction, fantasy, historical, sci, history, scifi, adventure, neal_stephenson, series, literature, sci_fantasy, alternate_history, science, speculative_fiction, pirate, france, novel, action, spy, scifi_fantasy, buy, general, spy, single, mother, story, woman, fiction_historical",316
823,"fiction, historical_fiction, science_fiction, fantasy, sci, historical, history, abandoned, scifi, series, sci_fantasy, science, alternate_history, speculative_fiction, adventure, steampunk, neal_stephenson, novel, unfinished, literature, scifi_fantasy, audible, did_not_finish, gave, fiction_historical, audio, novel, buy, american, didn_finish",345
825,"fiction, science_fiction, sci, thriller, scifi, mystery, cyberpunk, science, sci_fantasy, fantasy, neal_stephenson, scifi_fantasy, novel, environment, thriller, suspense, boston, general_fiction, environmental, adventure, contemporary, literature, audible, crime, humor, action, politics, stephenson, science_fiction_fantasy, contemporary_fiction",346
827,"science_fiction, sci, fiction, cyberpunk, scifi, steampunk, fantasy, sci_fantasy, scifi_fantasy, dystopia, speculative_fiction, science, novel, hugo, hugo_winner, buy, dystopian, neal_stephenson, audible, abandoned, hugo_award, fantasy_sci, science_fiction_fantasy, cyber_punk, sff, fantasy, hugo_award_winner, china, nanotechnology, sci_and_fantasy",349
830,"science_fiction, sci, fiction, cyberpunk, scifi, sci_fantasy, dystopia, fantasy, dystopian, speculative_fiction, scifi_fantasy, novel, abandoned, science, fantasy_sci, buy, cyber_punk, classic, audio, audible, thriller, science_fiction_fantasy, novel, sff, neal_stephenson, adventure, american, sci_and_fantasy, wish_list, did_not_finish",337
840,"design, non_fiction, nonfiction, business, tech, art, psychology, science, design, buy, product_management, engineering, personal_mba, art_design, work, graphic_design, programming, technology, product, creativity, game_design, hold, web_design, user_experience, wish_list, career, design_thinking, philosophy, software, interaction_design",339
865,"fiction, classic, fantasy, philosophy, novel, spirituality, paulo_coelho, inspirational, literature, novel, spiritual, adventure, classic, contemporary, self_help, novel, magical_realism, adult, buy, adult_fiction, historical_fiction, general_fiction, classic, religion, contemporary_fiction, school, literary_fiction, english, travel, finished",344
870,"manga, graphic_novel, graphic_novel, fiction, science_fiction, young_adult, sci, adventure, manga_comic, action, anime, fantasy, shounen, series, manga_graphic_novel, comic_manga, comic, manga_manhwa, magic, graphic_novel_manga, japanese, manga_and_comic, comic_and_manga, supernatural, comic, manga_and_graphic_novel, alchemy, teen, action_adventure, comedy",358
880,"historical_fiction, fiction, historical, history, italy, thriller, ancient_rome, rome, mystery, novel, roman, audio, robert_harris, pompeii, fiction_historical, adventure, novel, suspense, general_fiction, historic_fiction, english, europe, historicalfiction, audible, ancient_history, historical_novel, ancient, non_fiction, historical_novel, ancient_world",357
890,"classic, fiction, classic, school, literature, historical_fiction, novel, american, american_literature, classic, high_school, for_school, classic_literature, adult, historical, buy, adult_fiction, novel, century, young_adult, literary_fiction, modern_classic, american_lit, general_fiction, classic_fiction, drama, english, john_steinbeck, classic_lit, realistic_fiction",371
900,"non_fiction, psychology, nonfiction, biography, self_help, relationship, memoir, fiction, self_improvement, pua, personal_development, memoir, sociology, seduction, romance, love, autobiography, buy, family, social, other, calibre, strategy, relation, sex, dating, interpersonal, game, humor, did_not_finish",307
902,"mystery, young_adult, fiction, childrens, classic, middle_grade, newbery, child, child, kid, childhood, school, mystery, juvenile, childhood, realistic_fiction, mystery_thriller, classic, juvenile_fiction, newbery_medal, middle_school, all_time, child_lit, for_school, newbery_award, newbery_winner, youth, fiction, child_literature, mystery_suspense",350
903,"fiction, young_adult, childrens, mystery, child, child, childhood, middle_grade, kid, fantasy, childhood, newbery, egypt, realistic_fiction, newbery_honor, juvenile, adventure, child_literature, child_lit, series, school, juvenile_fiction, classic, historical_fiction, novel, friendship, middle_school, kid_lit, mythology, grade",328
930,"fiction, historical_fiction, romance, historical, japan, classic, adult, contemporary, novel, adult_fiction, asia, history, literature, general_fiction, drama, novel, memoir, buy, contemporary_fiction, asian, all_time, literary_fiction, chick_lit, classic, cultural, biography, memoir, non_fiction, woman, japanese",314
952,"parenting, non_fiction, christian, nonfiction, relationship, child, self_help, psychology, christian_living, education, family, buy, motherhood, didn_finish, faith, counseling, audio, inspirational, marriage, personal_development, love, religion, christian_parenting, kid, adult, spiritual, christian_non_fiction, personal_growth, christian_nonfiction, unfinished",363
960,"fiction, mystery, thriller, dan_brown, suspense, series, adventure, mystery_thriller, historical_fiction, crime, adult, thriller, contemporary, adult_fiction, religion, mystery_suspense, novel, general_fiction, fantasy, action, mystery, contemporary_fiction, historical, conspiracy, action_adventure, suspense_thriller, robert_langdon, english, buy, crime_mystery",363
968,"fiction, thriller, dan_brown, suspense, historical_fiction, adventure, mystery_thriller, novel, series, adult, contemporary, adult_fiction, thriller, religion, novel, general_fiction, mystery_suspense, mystery, contemporary_fiction, fantasy, historical, action, history, conspiracy, literature, action_adventure, art, english, american, crime_mystery",350
976,"fiction, thriller, mystery, dan_brown, suspense, adventure, mystery_thriller, thriller, crime, science_fiction, novel, sci, action, novel, adult, mystery_suspense, contemporary, adult_fiction, action_adventure, brown_dan, general_fiction, conspiracy, english, suspense_thriller, thriller_mystery, brown, contemporary_fiction, crime_mystery, mystery, crime_thriller",364
998,"non_fiction, finance, business, personal_finance, nonfiction, self_help, money, financial, economics, investing, finance, self_improvement, personal_development, personal_mba, wealth, psychology, business_finance, audio, investment, self_development, personal_growth, buy, success, sociology, shelfari, reference, entrepreneurship, personal, abandoned, home",357
1005,"personal_development, finance, nonfiction, self_development, self_help, success, business, personal_growth, personal_finance, motivational, classic, buy, entrepreneurship, leadership, inspirational, financial, non_fiction, self_improvement, productivity, investing, motivation, wealth, self, audible, economics, life, inspiration, entrepreneur, think_and_grow_rich, business_finance",382
1032,"business, non_fiction, biography, nonfiction, politics, real_estate, autobiography, self_help, finance, entrepreneurship, leadership, self_improvement, memoir, biography, persuasion, buy, economics, business_finance, biography_memoir, management, history, sale, trump, biography_autobiography, money, english, personal_development, career, psychology, memoir",358
1052,"business, finance, non_fiction, self_help, personal_finance, money, personal_development, fiction, self_improvement, financial, economics, investing, nonfiction, classic, finance, philosophy, self_development, buy, wealth, success, psychology, personal_growth, business_finance, motivational, investment, entrepreneurship, inspirational, recommended, history, audible",367
1067,"history, non_fiction, nonfiction, american_history, historical, american_revolution, war, military, revolutionary_war, history, biography, historical_fiction, politics, audio, history_american, american, military_history, audible, historical_non_fiction, history_biography, america, revolution, david_mccullough, fiction, buy, revolutionary, abandoned, historical_nonfiction, usa, adult",386
1078,"china, literature, pulitzer, asia, novel, pulitzer_prize, school, adult_fiction, classic_literature, novel, classic, audio, adult, series, asian, pulitzer_prize_winner, american_literature, century, oprah, nobel_prize, buy, american, general_fiction, nobel, family, classic_fiction, pearl_buck, all_time, cultural, chinese",322
